name,slug,color,vm_role,description
Active Directory,active-directory,00bcd4,True,
GitLab,gitlab,ff8000,True,
Grafana,grafana,de9c2a,True,
HAProxy,haproxy,03a9f4,True,
Layer 3 Switch,layer-3-switch,009688,,
Mesh Router,mesh-router,03a9f4,,
Mesh Satellite,netgear-orbi-satellite,03a9f4,,
NAS,nas,607d8b,,
PostgreSQL,postgresql,004c99,True,
Prometheus,prometheus,d73136,True,
Puppet Compile Master,puppet-compile-master,ffc107,True,
Puppet Enterprise,puppet-enterprise,ffc107,True,
Puppet FOSS,puppet-foss,ffc107,True,
Red Hat IdM,red-hat-idm,cc0000,True,
VMware ESXi,vmware-esxi,9e9e9e,,
VMware vCenter,vmware-vcenter,9e9e9e,True,
Zabbix,zabbix,ff0000,True,
Zabbix Proxy,zabbix-proxy,ff0000,True,
